id_ipc_apertura;valor_ipc_apertura;id_apertura;id_periodo;id_region
NULL;1.7;14;61;2
NULL;6.6;14;62;2
NULL;6.8;14;63;2
NULL;4.6;14;64;2
NULL;9.1;14;65;2
NULL;0.6;15;1;2
NULL;0.2;15;2;2
NULL;0.7;15;3;2
NULL;-0.8;15;4;2
NULL;0.6;15;5;2
NULL;0.1;15;6;2
NULL;1.3;15;7;2
NULL;2.3;15;8;2
NULL;0.4;15;9;2
NULL;0;15;10;2
NULL;1.4;15;11;2
NULL;1.8;15;12;2
NULL;0.4;15;13;2
NULL;7.9;15;14;2
NULL;1.1;15;15;2
NULL;7.7;15;16;2
NULL;0.4;15;17;2
NULL;8.4;15;18;2
NULL;0.4;15;19;2
NULL;5.8;15;20;2
NULL;8.4;15;21;2
NULL;5.6;15;22;2
NULL;2.6;15;23;2
NULL;5.9;15;24;2
NULL;7.6;15;25;2
NULL;5;15;26;2
NULL;7.2;15;27;2
NULL;3.2;15;28;2
NULL;-0.1;15;29;2
NULL;2;15;30;2
NULL;0.2;15;31;2
NULL;-0.1;15;32;2
NULL;2.8;15;33;2
NULL;0.7;15;34;2
NULL;1.5;15;35;2
NULL;3.5;15;36;2
NULL;0.5;15;37;2
NULL;1.3;15;38;2
NULL;1.4;15;39;2
NULL;0.4;15;40;2
NULL;0.6;15;41;2
NULL;0.5;15;42;2
NULL;0.4;15;43;2
NULL;0.7;15;44;2
NULL;0.9;15;45;2
NULL;1.1;15;46;2
NULL;4.4;15;47;2
NULL;7.1;15;48;2
NULL;-2.6;15;49;2
NULL;0.8;15;50;2
NULL;3.6;15;51;2
NULL;1.3;15;52;2
NULL;1.6;15;53;2
NULL;3;15;54;2
NULL;0.2;15;55;2
NULL;1.2;15;56;2
NULL;4.7;15;57;2
NULL;9.3;15;58;2
NULL;-3.3;15;59;2
NULL;14;15;60;2
NULL;-3.5;15;61;2
NULL;-3.3;15;62;2
NULL;5.4;15;63;2
NULL;6.3;15;64;2
NULL;2.5;15;65;2
NULL;3.9;16;1;2
NULL;4.3;16;2;2
NULL;2.5;16;3;2
NULL;6.9;16;4;2
NULL;0;16;5;2
NULL;1.8;16;6;2
NULL;0.6;16;7;2
NULL;1.9;16;8;2
NULL;1;16;9;2
NULL;4.9;16;10;2
NULL;0.5;16;11;2
NULL;2.3;16;12;2
NULL;1.9;16;13;2
NULL;7.6;16;14;2
NULL;2.4;16;15;2
NULL;0.7;16;16;2
NULL;3.4;16;17;2
NULL;0;16;18;2
NULL;0.3;16;19;2
NULL;15.6;16;20;2
NULL;1.2;16;21;2
NULL;0;16;22;2
NULL;4.6;16;23;2
NULL;6.8;16;24;2
NULL;8.4;16;25;2
NULL;1.4;16;26;2
NULL;4.3;16;27;2
